Gene_ID	term
isogroup121208	GO:0044434;GO:0044435
isogroup179147	GO:0044434;GO:0044435
isogroup42241	GO:0044434;GO:0044435
isogroup124205	GO:0044434;GO:0044435
isogroup124205	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup191503	GO:0044434;GO:0044435
isogroup239738	GO:0044434;GO:0044435
isogroup239738	GO:0009523;GO:0009521
isogroup239738	GO:0030076
isogroup239738	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup47991	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup245501	GO:0044434;GO:0044435
isogroup275894	GO:0044434;GO:0044435
isogroup275894	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup183049	GO:0044434;GO:0044435
isogroup183049	GO:0009523;GO:0009521
isogroup183049	GO:0030076
isogroup183049	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup274732	GO:0044434;GO:0044435
isogroup274732	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup275659	GO:0044434;GO:0044435
isogroup275659	GO:0009523;GO:0009521
isogroup275659	GO:0030076
isogroup275659	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup178699	GO:0044434;GO:0044435
isogroup190596	GO:0044434;GO:0044435
isogroup203738	GO:0044434;GO:0044435
isogroup203738	GO:0009523;GO:0009521
isogroup203738	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup247362	GO:0044434;GO:0044435
isogroup168522	GO:0044434;GO:0044435
isogroup168522	GO:0009523;GO:0009521
isogroup168522	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup38200	GO:0044434;GO:0044435
isogroup38200	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup277219	GO:0044434;GO:0044435
isogroup33374	GO:0044434;GO:0044435
isogroup227617	GO:0044434;GO:0044435
isogroup227617	GO:0009523;GO:0009521
isogroup227617	GO:0030076
isogroup227617	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup273373	GO:0044434;GO:0044435
isogroup51193	GO:0044434;GO:0044435
isogroup51193	GO:0009523;GO:0009521
isogroup51193	GO:0030076
isogroup51193	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup277051	GO:0044434;GO:0044435
isogroup172957	GO:0044434;GO:0044435
isogroup268586	GO:0044434;GO:0044435
isogroup268586	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup111552	GO:0044434;GO:0044435
isogroup189186	GO:0044434;GO:0044435
isogroup189186	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup115099	GO:0044434;GO:0044435
isogroup115099	GO:0009523;GO:0009521
isogroup115099	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup213256	GO:0044434;GO:0044435
isogroup213256	GO:0009523;GO:0009521
isogroup213256	GO:0030076
isogroup213256	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup211357	GO:0044434;GO:0044435
isogroup119314	GO:0044434;GO:0044435
isogroup119314	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup229658	GO:0044434;GO:0044435
isogroup229658	GO:0009523;GO:0009521
isogroup229658	GO:0030076
isogroup229658	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup36025	GO:0044434;GO:0044435
isogroup36025	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup275256	GO:0044434;GO:0044435
isogroup275256	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup79412	GO:0044434;GO:0044435
isogroup79412	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup201974	GO:0044434;GO:0044435
isogroup201974	GO:0009523;GO:0009521
isogroup201974	GO:0030076
isogroup201974	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup112245	GO:0044434;GO:0044435
isogroup226787	GO:0044434;GO:0044435
isogroup66369	GO:0044434;GO:0044435
isogroup66369	GO:0009523;GO:0009521
isogroup66369	GO:0030076
isogroup66369	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup38493	GO:0044434;GO:0044435
isogroup276827	GO:0044434;GO:0044435
isogroup276827	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup56708	GO:0044434;GO:0044435
isogroup235004	GO:0044434;GO:0044435
isogroup235004	GO:0009523;GO:0009521
isogroup235004	GO:0030076
isogroup235004	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup38560	GO:0044434;GO:0044435
isogroup91884	GO:0044434;GO:0044435
isogroup274766	GO:0044434;GO:0044435
isogroup119436	GO:0044434;GO:0044435
isogroup44357	GO:0044434;GO:0044435
isogroup44357	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup219273	GO:0044434;GO:0044435
isogroup219273	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup84556	GO:0044434;GO:0044435
isogroup231234	GO:0044434;GO:0044435
isogroup231234	GO:0009523;GO:0009521
isogroup231234	GO:0030076
isogroup231234	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup52922	GO:0044434;GO:0044435
isogroup271922	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup238554	GO:0044434;GO:0044435
isogroup115949	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup276139	GO:0044434;GO:0044435
isogroup118417	GO:0044434;GO:0044435
isogroup118417	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup124526	GO:0009523;GO:0009521
isogroup124526	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
isogroup179509	GO:0044434;GO:0044435
