Gene_ID	term
240	isogroup121237	GO:0044434;GO:0044435
241	isogroup121237	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
242	isogroup279931	GO:0044434;GO:0044435
243	isogroup284232	GO:0044434;GO:0044435
244	isogroup279821	GO:0044434;GO:0044435
245	isogroup279821	GO:0009523;GO:0009521
246	isogroup279821	GO:0030076
247	isogroup279821	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
248	isogroup288019	GO:0044434;GO:0044435
249	isogroup288019	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
250	isogroup122241	GO:0044434;GO:0044435
251	isogroup86627	GO:0044434;GO:0044435
252	isogroup61785	GO:0044434;GO:0044435
253	isogroup61785	GO:0009523;GO:0009521
254	isogroup61785	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
255	isogroup227574	GO:0044434;GO:0044435
256	isogroup227574	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
257	isogroup279452	GO:0044434;GO:0044435
258	isogroup279452	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
259	isogroup284249	GO:0044434;GO:0044435
260	isogroup284249	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
261	isogroup282099	GO:0044434;GO:0044435
262	isogroup282584	GO:0044434;GO:0044435
263	isogroup83421	GO:0044434;GO:0044435
264	isogroup21164	GO:0044434;GO:0044435
265	isogroup283314	GO:0044434;GO:0044435
266	isogroup291561	GO:0044434;GO:0044435
267	isogroup186407	GO:0044434;GO:0044435
268	isogroup186407	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
269	isogroup102693	GO:0044434;GO:0044435
270	isogroup19775	GO:0044434;GO:0044435
271	isogroup281286	GO:0044434;GO:0044435
272	isogroup281286	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
273	isogroup299326	GO:0044434;GO:0044435
274	isogroup280590	GO:0044434;GO:0044435
275	isogroup202496	GO:0044434;GO:0044435
276	isogroup279282	GO:0044434;GO:0044435
277	isogroup279282	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
278	isogroup280882	GO:0044434;GO:0044435
279	isogroup288527	GO:0044434;GO:0044435
280	isogroup288527	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
281	isogroup25003	GO:0044434;GO:0044435
282	isogroup25003	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
283	isogroup280618	GO:0044434;GO:0044435
284	isogroup280618	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
285	isogroup281870	GO:0044434;GO:0044435
286	isogroup286066	GO:0044434;GO:0044435
287	isogroup285532	GO:0044434;GO:0044435
288	isogroup300665	GO:0044434;GO:0044435
289	isogroup98966	GO:0044434;GO:0044435
290	isogroup98966	GO:0009523;GO:0009521
291	isogroup98966	GO:0030076
292	isogroup98966	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
293	isogroup97767	GO:0044434;GO:0044435
294	isogroup282696	GO:0044434;GO:0044435
295	isogroup70278	GO:0044434;GO:0044435
296	isogroup228246	GO:0044434;GO:0044435
297	isogroup277467	GO:0044434;GO:0044435
298	isogroup65854	GO:0044434;GO:0044435
299	isogroup82423	GO:0044434;GO:0044435
300	isogroup173587	GO:0044434;GO:0044435
301	isogroup280104	GO:0044434;GO:0044435
302	isogroup281714	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
303	isogroup30464	GO:0044434;GO:0044435
304	isogroup277242	GO:0044434;GO:0044435
305	isogroup212231	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
306	isogroup172542	GO:0044434;GO:0044435
307	isogroup282710	GO:0044434;GO:0044435
308	isogroup280302	GO:0044434;GO:0044435
309	isogroup107621	GO:0044434;GO:0044435
310	isogroup277057	GO:0044434;GO:0044435
311	isogroup277057	GO:0009523;GO:0009521
312	isogroup277057	GO:0030076
313	isogroup277057	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
314	isogroup118304	GO:0044434;GO:0044435
315	isogroup275427	GO:0044434;GO:0044435
316	isogroup275787	GO:0044434;GO:0044435
317	isogroup275787	GO:0009523;GO:0009521
318	isogroup275787	GO:0030076
319	isogroup275787	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
320	isogroup276347	GO:0044434;GO:0044435
321	isogroup276347	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
322	isogroup285875	GO:0044434;GO:0044435
323	isogroup279220	GO:0044434;GO:0044435
324	isogroup279220	GO:0009523;GO:0009521
325	isogroup279220	GO:0030076
326	isogroup279220	GO:0009535;GO:0055035;GO:0042651;GO:0034357;GO:0044436
327	isogroup85305	GO:0044434;GO:0044435
